Customer ID,frequency,recency,T,monetary_value,predicted_purchases,predicted_clv
12346.0,7.0,400.0,725.0,11066.637142857144,0.17682678767624463,11551.77016756071
12347.0,7.0,402.0,404.0,717.3985714285715,0.4982512280621937,2103.2417960022335
12348.0,4.0,363.0,438.0,449.31,0.289941528189024,782.3096867171707
12349.0,3.0,571.0,589.0,1120.0566666666666,0.18637646506832073,1273.9510618199727
12352.0,8.0,356.0,392.0,338.26125,0.5670069516787349,1125.604365339589
12353.0,1.0,204.0,408.0,89.0,0.10243218618202189,65.62080811505281
12355.0,1.0,353.0,567.0,459.4,0.08406439333514516,270.02159184804157
12356.0,5.0,402.0,424.0,1092.648,0.36140739059936705,2347.0802360894195
12357.0,1.0,355.0,388.0,6207.67,0.13041184727379293,5595.817602398741
12358.0,4.0,730.0,731.0,614.3100000000001,0.1915757064784207,708.9325229300952
12359.0,9.0,677.0,734.0,908.3611111111111,0.36928671141379726,1970.333397465937
12360.0,7.0,603.0,655.0,590.6985714285713,0.32876508201564353,1146.6847751147666
12361.0,3.0,395.0,682.0,134.01666666666668,0.1406373969637146,116.06990459279956
12362.0,10.0,735.0,738.0,522.6229999999999,0.40671930750791885,1246.5159294795835
12363.0,1.0,133.0,242.0,252.9,0.1648688908257626,290.5430447635026
12364.0,3.0,105.0,112.0,229.7266666666667,0.6148911634461258,851.9780818485417
12369.0,2.0,228.0,641.0,721.415,0.08097332466353171,368.33123642486714
12370.0,5.0,617.0,668.0,751.47,0.2449791495430529,1098.0640165449781
12371.0,3.0,601.0,645.0,1153.2333333333333,0.17145775142870606,1207.4479663532459
12372.0,2.0,225.0,296.0,449.41,0.23870896229141203,672.6135861337121
12373.0,2.0,362.0,673.0,344.875,0.10558208526138259,230.3198104645502
12374.0,2.0,563.0,588.0,800.34,0.1414049760631568,712.9230932395083
12375.0,1.0,88.0,98.0,227.20000000000002,0.32727078802960724,513.0577011052317
12376.0,1.0,28.0,417.0,70.6,0.03199129715246734,16.42979361661966
12377.0,3.0,274.0,589.0,738.4533333333334,0.1370665001605957,618.0471934638124
12378.0,1.0,433.0,562.0,4008.62,0.09144083066153678,2544.6276539235523
12379.0,3.0,453.0,534.0,417.58,0.1990238549303091,507.7393409919219
12380.0,7.0,641.0,662.0,951.2857142857143,0.32763672290738416,1839.8282678258363
12381.0,4.0,115.0,119.0,144.14249999999998,0.7378364591811136,633.5350069243118
12383.0,4.0,168.0,352.0,312.46,0.2695383446114226,505.26841054506576
12384.0,1.0,93.0,121.0,292.58000000000004,0.28527182904226306,575.3222017169229
12386.0,1.0,29.0,366.0,143.0,0.043430120307612556,43.977760109337844
12388.0,7.0,567.0,582.0,491.3557142857143,0.3665813259656418,1062.9587149395554
12389.0,2.0,253.0,655.0,634.24,0.08552685197951142,342.2095486416347
12391.0,4.0,641.0,662.0,515.2574999999999,0.20841360204275164,646.6617262937759
12393.0,5.0,356.0,428.0,419.13,0.3520516017641554,878.0266018968133
12394.0,1.0,154.0,217.0,891.4000000000001,0.19178616868786494,1177.3762862763642
12395.0,13.0,583.0,602.0,303.2176923076923,0.6138632371153544,1086.2715316100341
12397.0,1.0,100.0,135.0,1195.09,0.2656547528681901,2170.8342066090586
12399.0,6.0,525.0,644.0,292.71999999999997,0.286428066777979,497.6485340858441
12402.0,5.0,347.0,670.0,213.04000000000002,0.16611885663110823,211.61592446024702
12403.0,1.0,472.0,521.0,427.70000000000005,0.1019429051693786,304.7735691479505
12406.0,4.0,675.0,697.0,1377.29,0.19920406317046557,1650.8601037731187
12407.0,4.0,215.0,264.0,370.455,0.4308875548243953,954.6778543823892
12408.0,6.0,466.0,498.0,691.1116666666667,0.3663628948286768,1498.452490274331
12409.0,6.0,487.0,565.0,2769.4683333333337,0.3250841137393551,5329.248512785493
12410.0,1.0,194.0,502.0,693.33,0.07347504200375272,354.78990912808666
12412.0,5.0,465.0,539.0,385.21,0.29198709605153655,670.5481191796856
12413.0,3.0,336.0,402.0,252.70000000000002,0.2516168023372001,388.2762862032184
12414.0,3.0,246.0,463.0,187.47,0.19100348151250296,219.29424625264917
12415.0,22.0,503.0,527.0,6460.528636363637,1.1186940530945706,41885.07757675798
12417.0,19.0,730.0,733.0,342.5163157894737,0.7354715592472572,1465.177153842181
